"","X","WS12.2","WS14.2","WS17.2","WS18.2","WS2.2","WS21.2","WS23.2","WS24.2","WS27.2","WS32.2","WS33.2","WS34.2","WS36.2","WS37.2","WS38.2","WS39.2","WS4.2","WS40.2","WS42.2","WS43.2","WS47.2","WS5.2","WS6.2","WS8.2","WS9.2","Ensembl"
"ENSG00000006459 - KDM7A","KDM7A",1324,467,270,617,639,739,388,482,274,216,798,1079,453.999,393,884,1299,695,936,815,464,526,1046.999,525,1952,510,"ENSG00000006459"
"ENSG00000006468 - ETV1","ETV1",31,21,9,9,35,16,8,12,7,8,7,33,3,5,28,14,4,19,15,11,5,25,25,50,13,"ENSG00000006468"
"ENSG00000006530 - AGK","AGK",151,111.201,45,104.001,100.742,204,59.744,92,92.27,68,103,411.618,182.999,27,282,391.436,92.649,207.999,212.001,94.309,75.001,148.998,155.999,637,70.55,"ENSG00000006530"
"ENSG00000006534 - ALDH3B1","ALDH3B1",234.049,329,85,264,532.001,451.001,309,224,265,289.001,166.999,545.999,408,88.698,441,730,138,604,653,225,161,216.001,270,1629,345.001,"ENSG00000006534"
"ENSG00000006555 - TTC22","TTC22",8987,2490,1985,2385,2776,2020.001,1279,2709,870,956,5912,5300,990,2341,2077,2811,3420,3151.999,2320,1773,4343,6157,3293.001,5927,2951.999,"ENSG00000006555"
"ENSG00000006576 - PHTF2","PHTF2",336.001,112,58,144,174,160.001,41,129,66,54,243,229,50.001,87,171.999,207,153.001,200,211,82,109,295.001,151,549,161,"ENSG00000006576"
"ENSG00000006606 - CCL26","CCL26",1,4,2,20,5,0,3,5,1,4,2,3,18,0,3,13,0,0,2,2,1,1,0,21,2,"ENSG00000006606"
"ENSG00000006607 - FARP2","FARP2",2350.999,1038,414.999,1076,1265.001,1368.001,664,807,511,495,1760,2286.001,872.626,789.001,2149.999,2518.999,1454,1796.998,1737,889,1116.999,2102.001,1125.001,4053,892,"ENSG00000006607"
"ENSG00000006611 - USH1C","USH1C",7768.001,4210.999,2073.999,4088.999,5754.001,4900.999,2717.999,3675.001,2262,2091.001,6401.001,7515.001,3187,2947.002,3958.001,6803,5526.999,5915,6646.999,3385.999,4466,6833.999,4687,12844,3382,"ENSG00000006611"
"ENSG00000006625 - GGCT","GGCT",543.223,515.729,170.23,412.507,693.864,1331.061,458,415.605,511.778,470.834,606.225,1628.283,1251.404,193,1367.001,2428.816,659.747,906.985,990.388,439.673,327.001,811.944,888.001,4262,488.494,"ENSG00000006625"
"ENSG00000006634 - DBF4","DBF4",126,123,25,46.999,64.999,141,49,43,70,65.859,56,274.051,90.001,14,366,343.795,67,152,120,76.999,31.914,128,126,641.001,70,"ENSG00000006634"
"ENSG00000006638 - TBXA2R","TBXA2R",23,20,1,8,4,12,1,3,3,28,4,3,1,1,6,2,0,7,6,0,9,0,0,4,3,"ENSG00000006638"
"ENSG00000006652 - IFRD1","IFRD1",760.408,297.226,131.982,338.914,461.972,285.077,180.252,218.099,144.665,108.427,476.86,621.434,164.343,190.239,556.046,438.105,413.281,525.141,392.689,283.341,249.865,396.313,500.432,955.256,241.075,"ENSG00000006652"
"ENSG00000006659 - LGALS14","LGALS14",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3,0,0,"ENSG00000006659"
"ENSG00000006695 - COX10","COX10",490.001,328.001,79,208.999,468,561,286.999,208.001,236.001,203,351,799.12,539.097,120,898.228,1235.442,300,677.01,663,352,193,481,462,1868.36,234.054,"ENSG00000006695"
"ENSG00000006704 - GTF2IRD1","GTF2IRD1",78.999,133.001,33,112,76.001,168,45.001,47.001,69,63.999,44,229,114,15,273.999,352,47,108.001,100,66.999,39,87,83,567,69,"ENSG00000006704"
"ENSG00000006712 - PAF1","PAF1",1063,711,304.001,690.001,929,1100,496,527.001,418,448,836,1161,899,375,910,1826.999,654,1078,1217,532,628,841,528.999,3005,563,"ENSG00000006712"
"ENSG00000006715 - VPS41","VPS41",973,324,219.001,371,600,580,233.999,270,198,195.999,522,1036,306,256.999,599.001,824.001,454,639,578.001,297.045,437.001,800.001,448,1562,390,"ENSG00000006715"
"ENSG00000006740 - ARHGAP44","ARHGAP44",1417.001,848.999,370.001,429.062,1302.001,1453,693,686,699.001,433,1179.001,2341.001,787.001,386,1946.999,1951,1113,1312,1634,875.999,677.001,1669,999.001,5145.999,593,"ENSG00000006740"
"ENSG00000006744 - ELAC2","ELAC2",849,561.001,150.999,467.999,603.999,957.999,439.999,384,387,351,582.002,1529.001,941,243,1393,2041.999,529.999,1107.999,1054.999,533,383.999,748.002,572.999,3120.999,434.001,"ENSG00000006744"
"ENSG00000006747 - SCIN","SCIN",4334.661,2466,1188,1701.605,4397.002,2417.002,1266,2048.166,729.886,940.053,2970.001,4311.53,340.001,1879,2707,2397.39,2512,3657.001,102.005,1595.001,3048,4508,2849.001,6825,1984.004,"ENSG00000006747"
"ENSG00000006756 - ARSD","ARSD",1376,832,451.999,1183,1118.001,2043.999,773.001,519,386,305.999,838,2346,2168,383,1589,2408.001,911,1968,1357,637,707,2277,745.999,4040,1178.001,"ENSG00000006756"
"ENSG00000006757 - PNPLA4","PNPLA4",396,229,187,307,539,532,357,140,277,104,229.999,524,387,86.999,576.136,839,291.999,599.001,521.001,196,191,560,264,1711,318,"ENSG00000006757"
"ENSG00000006788 - MYH13","MYH13",0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"ENSG00000006788"
"ENSG00000006837 - CDKL3","CDKL3",1,3,1,2,6,5,0,2,2,3,3,4,2,3,1,3,0,2,8,2,9,2,4,17,3,"ENSG00000006837"
"ENSG00000007001 - UPP2","UPP2",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ENSG00000007001"
"ENSG00000007047 - MARK4","MARK4",236.001,217,47,121,261,259.992,157.999,133,131,95,166,227,117,64,194,303,130,224.999,230,159,145,195,89,506,147,"ENSG00000007047"
"ENSG00000007062 - PROM1","PROM1",4347.022,1219,608.005,897.999,1731.001,1344.963,936,877.007,429.999,997.001,2397.623,3781.566,1023.783,1495,1400,1418,858.999,2353.999,2016,1217.001,1966.251,4917.204,1521,5365.199,2707.001,"ENSG00000007062"
"ENSG00000007080 - CCDC124","CCDC124",733,777,216,581,890,1175,495,405,628,650,606,1424,1249,206,1197,2320,562,1016,1382,557,439,738,743,3617,414,"ENSG00000007080"
"ENSG00000007129 - CEACAM21","CEACAM21",0,3.033,0,0,0,0,0,0,8.319,2.069,1.366,0,1,0,2,0,0,0,0,0,0,0,0,0,0,"ENSG00000007129"
"ENSG00000007168 - PAFAH1B1","PAFAH1B1",5424.002,2130.05,1259.137,2483.001,3512.015,3219.999,1685,1836.014,1077.999,1052.004,4064,4102.001,1253.023,1934.999,3173,3888.017,3318.154,3643,3507,1831.001,2554,4091,2629.999,7580.002,2132,"ENSG00000007168"
"ENSG00000007171 - NOS2","NOS2",375,420,45,111,77,239,56,127,73,99,117,454,20,14,696,503,163,253,78,115,107,186,78,821,101,"ENSG00000007171"
"ENSG00000007174 - DNAH9","DNAH9",7,2,0,0,2,0,0,21.999,0,0.999,7,5,0,4,6,3,7,5,2,0,16,3,2.001,2,5.001,"ENSG00000007174"
"ENSG00000007216 - SLC13A2","SLC13A2",2396,181,517,256,1626.001,1137,465,580,233,124.001,2430,645,239,114,1465,388,1085,1485,1127,371.001,794.999,716,676,1947,241,"ENSG00000007216"
"ENSG00000007237 - GAS7","GAS7",203,151,15,68,45,136,11,63,133,157,122.996,112,48,18,70,143,22,88,84,68,92,47,29,41,11,"ENSG00000007237"
"ENSG00000007255 - TRAPPC6A","TRAPPC6A",315,255,122,221,228,386,107,145,171.999,59.999,206,765,418,88,148,463,249,306,166,263,113.999,308,300,587,157,"ENSG00000007255"
"ENSG00000007264 - MATK","MATK",254,146,23,66.999,31,206,20,84,84.999,76,112,164,132.999,24,39,189,101,86,94.999,67,100,104.001,81,79,10,"ENSG00000007264"
"ENSG00000007306 - CEACAM7","CEACAM7",392375.708,76273.594,76487.314,101034.87,111524.63,71805.865,19464.812,69854.742,30056.411,11236.856,243495.634,130310.233,18899.535,75318.652,34294.935,77904.607,175643.164,102895.886,84354.914,65896.982,112690.027,272998.316,175669.967,92154.259,101947.429,"ENSG00000007306"
"ENSG00000007312 - CD79B","CD79B",168,111.999,5,162,4,410,8,53,201.9,75,133,163.001,6,2,28,61,0,287.569,12.871,99,187,128,0,2,2,"ENSG00000007312"
"ENSG00000007314 - SCN4A","SCN4A",3,3,0,2,0,0,0,1,5,4,2,3,0,0,5,1,0,2,0,0,2,0,0,0,0,"ENSG00000007314"
"ENSG00000007341 - ST7L","ST7L",159.999,128.602,22,92.999,112,172.999,92,80.999,77,64,115.001,253.001,159,48,184,284.999,126,156,175,92,70.001,129,126.999,476.002,67,"ENSG00000007341"
"ENSG00000007350 - TKTL1","TKTL1",2,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,"ENSG00000007350"
"ENSG00000007372 - PAX6","PAX6",11,11,0,4,9,6,2,6,1,7,16,12,0,0,13,6,5,6,2,6,3,9,11,12,3,"ENSG00000007372"
"ENSG00000007376 - RPUSD1","RPUSD1",533.999,359,144,170,404,514.001,252,244.001,220,199,470.001,680,415,173.999,517,823,301,401.001,620,263.001,261,421.001,344,1781,219.001,"ENSG00000007376"
"ENSG00000007384 - RHBDF1","RHBDF1",1129.001,268.999,272,710.999,641,285.001,372.999,415,183.001,155,709.001,730.999,374,482,424,584.001,391,520,604.999,377.999,509.999,1011.999,458,1183.001,343,"ENSG00000007384"
"ENSG00000007392 - LUC7L","LUC7L",351,620,86.999,347.001,442,540.001,216,211.999,286,313,370,317.998,547.999,129,351.001,638.001,361.999,336,519.999,334.998,184,436.001,224.999,1360,196,"ENSG00000007392"
"ENSG00000007402 - CACNA2D2","CACNA2D2",29,46,3,7,14,44.999,5,9,15,11,11,54,16,4,32,62,5,43,7,14,11,28,15,55,21,"ENSG00000007402"
"ENSG00000007516 - BAIAP3","BAIAP3",142,105,27,54,50,120.001,73,52,40,48,64,218,59,17,133,225,42,89.999,117,88,41,111,67,339,45,"ENSG00000007516"
"ENSG00000007520 - TSR3","TSR3",1394,942,355,807,1175,1191,616,624,568,598,947,1511,1057,392,1041,1671,885,934,1208,567,679,987,863,3278,621,"ENSG00000007520"
"ENSG00000007541 - PIGQ","PIGQ",602,664,229,355.999,930,912.002,464,464.001,416,390,712,993.999,442,307.001,925,1062.001,667.002,690.001,950.001,426.999,552,883,570,1984.999,329,"ENSG00000007541"
"ENSG00000007545 - CRAMP1","CRAMP1",342.56,180.016,63.937,135.883,154.799,178.327,86.581,108.373,78.29,74.031,258.403,348.237,92.376,112,287.931,368.736,144,260.055,221.894,136.154,147.751,328.433,126.367,522.597,117,"ENSG00000007545"
"ENSG00000007866 - TEAD3","TEAD3",1068,531,247,541,699,574,370,416,283,253,669,873.001,372,356,346,810,483,610,621,445,442,758,416,1376,378,"ENSG00000007866"
"ENSG00000007908 - SELE","SELE",8,33,0,12,1,9,4,1,2,0,1,8,1,0,10,33,0,4,0,0,0,0,3,6,0,"ENSG00000007908"
"ENSG00000007923 - DNAJC11","DNAJC11",1517.999,1356,340,835.999,1519.993,1797.987,1085,800,806,979.981,1398.001,2463.999,1784.985,456,2844.999,4104.976,1050,2097,2905.983,1198,806.001,1825.976,1524.999,7928.993,850.992,"ENSG00000007923"
"ENSG00000007933 - FMO3","FMO3",0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,0,"ENSG00000007933"
"ENSG00000007944 - MYLIP","MYLIP",1433,240,198,303,176,291,68,386,119,81,865,959,152,259,182,205,771,357,99,290,385,979,438,348,337,"ENSG00000007944"
"ENSG00000007952 - NOX1","NOX1",1848,735,212,1068.001,728.999,1472.001,740.001,740,326,452,921,2637,2121,567,2644,3096,1255,1534,1484,659,617,1428.001,1061.001,5295.999,1038.001,"ENSG00000007952"
"ENSG00000008018 - PSMB1","PSMB1",2584,1529,851,1998,2679,2675,1183,1338,1300,1322,1804,4054,2868,904,2846,4664,2527,2536,2862,1330,1199,3268,2909,9543,1349,"ENSG00000008018"
"ENSG00000008056 - SYN1","SYN1",9,12,0,2,7,13,2,2,5,7,5,13,9,0,16,22,5,9,14,4,5,4,3,36,5,"ENSG00000008056"
"ENSG00000008083 - JARID2","JARID2",271,190,52,113,121,287,94,124,130,77,169,439,198,32,311,368,140,225,221,102,124,226,99,525,87,"ENSG00000008083"
"ENSG00000008086 - CDKL5","CDKL5",161,38.014,17,38.989,45.076,62.206,32,24,21.787,18,62.026,109,15,34.06,80,110.054,60,74,46,32.844,43,84.017,39,130,45.956,"ENSG00000008086"
"ENSG00000008118 - CAMK1G","CAMK1G",4,0,0,1,0,0,0,0,0,4,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,"ENSG00000008118"
"ENSG00000008128 - CDK11A","CDK11A",933.035,609.139,239.377,469.666,1212.389,506.839,339.946,447.491,317.529,319.419,886.615,364.685,740.716,338.193,859.21,1321.032,343.298,939.695,883.922,718.589,644.067,1035.695,383.39,1839.846,390.143,"ENSG00000008128"
"ENSG00000008130 - NADK","NADK",4612,2444,1172.999,2346.999,5474,3691,2538,1996.001,1753,1591,3931.001,4553,1709,1675.999,3347,4922.999,2732.999,3716,4258.998,2198,2551.002,4359.001,3251.999,9242.999,1824.999,"ENSG00000008130"
"ENSG00000008196 - TFAP2B","TFAP2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000008196"
"ENSG00000008197 - TFAP2D","TFAP2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000008197"
"ENSG00000008226 - DLEC1","DLEC1",26,41,10.002,26.999,21,76,26.007,28,21,26.022,18,30,17,15,15,40.002,61,36.002,23,22.003,16,46.003,36,36,7,"ENSG00000008226"
"ENSG00000008256 - CYTH3","CYTH3",555,244,63,164,219,179,144,197,89,131,395.999,305,63,220,314,299,220,303,363,130,259,405,208,725,188.001,"ENSG00000008256"
"ENSG00000008277 - ADAM22","ADAM22",45,41,13,18,6,80,9,19,38,13,22,114,33,9,40,46,29,24,15,18,19,49,8,54,12,"ENSG00000008277"
"ENSG00000008282 - SYPL1","SYPL1",1715,827,237,1036,1349,1801.001,639,607,603,516,1272,2471,753,546,2126.999,2401,1414,1570,1470,674,781,2052,1226,6581,791,"ENSG00000008282"
"ENSG00000008283 - CYB561","CYB561",1350.004,1025,421,935.001,2240.024,1824,1210.999,758.001,840.001,707.999,1561,2685.001,1478.001,803,2219.999,3629.999,1796.001,2191,2773,1076,987,2529,1112.998,5775.998,904,"ENSG00000008283"
"ENSG00000008294 - SPAG9","SPAG9",5342.999,2173.001,768.999,3621,3515.489,1947,800,1056.999,674.999,860,3579.001,2424,401,1776.999,1218,1953.001,3162.998,2936.001,1644.001,1476,3013,2279.001,3314,4925.001,3922.998,"ENSG00000008294"
"ENSG00000008300 - CELSR3","CELSR3",31,24,1,12,13,31,6,10,10,6,3,18,4,9,23,42,5,18,12,17,14,46,14,28,8,"ENSG00000008300"
"ENSG00000008311 - AASS","AASS",33.463,45.001,1.01,18,7,42,3,11,19,19,24,32,10,1,36,12,0,20,9,17,8,27,13,71.999,3,"ENSG00000008311"
"ENSG00000008323 - PLEKHG6","PLEKHG6",8049,2766,2760,3724,6135.001,4522.999,2869,3131.999,1416,1404,6574.001,6139.001,1481,2832.001,3559.002,5556,4724,4929.001,5571.001,2657,4443,5438.001,3336.002,10470,2774,"ENSG00000008323"
"ENSG00000008324 - SS18L2","SS18L2",322,243,93,191,311,471,134,162,153,149,270,337,351,86,260,543,237,262,227,154,156,333,192,832,182,"ENSG00000008324"
"ENSG00000008382 - MPND","MPND",2161.002,1422,822,923.001,2576,1470.001,998,901.998,790.999,540,1710.999,2046,893.001,529.001,1128,1711,1609.001,1426,1331.999,968,1075,1945,1300.001,3752,998,"ENSG00000008382"
"ENSG00000008394 - MGST1","MGST1",3711,2585.001,1557,2252.999,5672,5406,2409,1900.999,1928.999,1776.998,3074,7904.999,5117.002,961,5159.999,7319.999,4491,4539.001,5708,2407.001,1339,3905.001,3585.999,19677.999,2733.001,"ENSG00000008394"
"ENSG00000008405 - CRY1","CRY1",165,84,51,142,189,161,113,77,63,57,145,232,111,39,352.001,330,93,225,196,72,125,224,149,539,155,"ENSG00000008405"
"ENSG00000008438 - PGLYRP1","PGLYRP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000008438"
"ENSG00000008441 - NFIX","NFIX",762,599,99,232,318,719,255,257,274,379.001,336,1217,520,92,1229.001,1448,304,653,590,449,251,357,246,2034,272,"ENSG00000008441"
"ENSG00000008513 - ST3GAL1","ST3GAL1",173,99.999,18,66,10,172,10,50,83,57,73,99,23,22,67,41,22,167,42,31,82,79,45,47,16,"ENSG00000008513"
"ENSG00000008516 - MMP25","MMP25",35,28,3,15,39,48,6,29,53,29,31,30,1,3,16,16,20,29,22,10,14,17,3,13,2,"ENSG00000008516"
"ENSG00000008517 - IL32","IL32",28675.001,8148.997,10720.998,15673.997,15910.999,12409.001,4214,10325.001,3772.001,2667.001,17636,13535.999,4184.998,6477.998,3451.998,6520.003,18264.999,7887,9349.999,10090,7497,13395.996,11944.999,9999.999,8019.999,"ENSG00000008517"
"ENSG00000008710 - PKD1","PKD1",603.116,387.487,94.552,214.883,272.687,433.501,223.433,224.704,174.267,306.541,347.847,554.435,192.307,133.646,487.974,630.079,261.839,356.109,377.249,282.991,269.343,508.105,226.647,694.998,138.346,"ENSG00000008710"
"ENSG00000008735 - MAPK8IP2","MAPK8IP2",44,23,6,19,30,37,25,29,33,8,17,48,8,5,23,38,17,38,48,6,8,37,37,125,9,"ENSG00000008735"
"ENSG00000008838 - MED24","MED24",1055.001,869,244.999,492.002,1039,1524.001,623.999,482.001,584.001,638.999,979.999,1914.999,1006.999,347.001,2009,2844.999,799,1203.003,1649.001,711.999,681.001,1261.001,755.999,4513.999,559,"ENSG00000008838"
"ENSG00000008853 - RHOBTB2","RHOBTB2",85,63,3,61,35,190,21.001,32,70,51,59,77,16,3,50,72.999,13,81.999,32,33,36,51,11,118,20,"ENSG00000008853"
"ENSG00000008869 - HEATR5B","HEATR5B",894,232,135,291,340,394,232,246,163,148,498,852.999,237,234,509,700,360,473,505,225,361,671,281,1024,279,"ENSG00000008869"
"ENSG00000008952 - SEC62","SEC62",2577.001,1523,652,1467,2222,2416.001,928,1253,1253.998,1104.999,1649.001,2566,2457.001,788,2053.001,2827,2104,2037,1864,938,1326,2765,1449,5726.001,1229.999,"ENSG00000008952"
"ENSG00000009307 - CSDE1","CSDE1",12174,5194.998,2308,4652,7696.998,8496,4043.998,4440,3520.001,3130.998,7376,14235,4851.001,3075,9132.002,12850.999,6073.998,9722,8324,4201,4602.998,9615.002,6232.001,23023,4872.002,"ENSG00000009307"
"ENSG00000009335 - UBE3C","UBE3C",1831.994,795,376,826,1216,1474.999,772,647,644,508,1228,2336,1166.999,602.001,2108.999,2958.999,1028,1667,1788.999,859.999,818,1496,1141,4827,650.999,"ENSG00000009335"
"ENSG00000009413 - REV3L","REV3L",312.057,159.241,56.505,92.215,169.649,232.487,77.976,126.532,119.112,68.591,156.715,328.471,64.403,98.097,332.98,324.688,97.55,255.248,155.629,146.023,137.902,217.483,154.17,506.338,115.729,"ENSG00000009413"
"ENSG00000009694 - TENM1","TENM1",3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,"ENSG00000009694"
"ENSG00000009709 - PAX7","PAX7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000009709"
"ENSG00000009724 - MASP2","MASP2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ENSG00000009724"
"ENSG00000009765 - IYD","IYD",1092.093,257.161,242.001,308.157,387.033,329.12,203,316.209,181,75.656,502.948,970.586,283.001,346.001,352,399.126,592.373,613.001,370,355.009,514.999,848.12,363,741.028,329.001,"ENSG00000009765"
"ENSG00000009780 - FAM76A","FAM76A",205,132,64,79,200.15,187,101,97,72,67,171,217,64,62,184,199.999,166,177,183.999,105,117.001,323,151.001,503.117,121.999,"ENSG00000009780"
"ENSG00000009790 - TRAF3IP3","TRAF3IP3",129.999,83,9,56.001,5,128.999,5,42,96,46,65,95.999,10,10,24,26.001,22,208.999,32,41,107,88,25,30.001,2,"ENSG00000009790"
"ENSG00000009830 - POMT2","POMT2",246.999,191,46,84,144,131.999,85.999,66,81,135.999,151,247.998,132,48,304.999,425.999,97,170.999,289,123,110.999,242.001,112,704.002,92,"ENSG00000009830"
"ENSG00000009844 - VTA1","VTA1",2754,951,618.001,1182.005,2054,1498.611,778.999,1108,515,501.014,1934,2558,759,866,1466,1875,1866,1807,1687,735,1272.001,2150.01,1550,4594,1232.001,"ENSG00000009844"
"ENSG00000009950 - MLXIPL","MLXIPL",68,80.999,14,22,42,52,26,24,13,28,30,72,21,3,53,90,39,82,24,31,25.999,35,27,100,22,"ENSG00000009950"
"ENSG00000009954 - BAZ1B","BAZ1B",1290,672,204,441.001,761,1056,499,499,468,463,691.999,1682,659,332,1747.001,2053,563,1401,1213,510,530,777,518,3412,472,"ENSG00000009954"
"ENSG00000010017 - RANBP9","RANBP9",1240,435,301,576,853,628,392,415,266,206,839,1038,333,430,704,929,636,874,854,382,557,1067,648,1843,672,"ENSG00000010017"
"ENSG00000010030 - ETV7","ETV7",87,139,19,67,75.999,163,23,87,76,65,63.999,87.001,47,22,45,77,71.999,86,107.999,46,68.999,88.001,31,195,22,"ENSG00000010030"
"ENSG00000010072 - SPRTN","SPRTN",158,70,34,109,103,119.999,46.001,56,47,49,107,173,71,71,145,172.001,116,140.999,90,46,68,170,89,337.999,86,"ENSG00000010072"
"ENSG00000010165 - METTL13","METTL13",675.999,383,119,309,406.999,717.999,260.999,249,207,260.001,385.001,1071.999,434,156,927,1293.001,351,664,671.001,300,328.999,626,341.001,2205.001,280,"ENSG00000010165"
"ENSG00000010219 - DYRK4","DYRK4",122.444,134.037,24.001,86.558,81,130.726,79.831,74,83.388,86,50.001,188,201,16.269,151.415,361.594,95.999,137.464,128,64.247,51.001,73.666,114.314,590.746,72,"ENSG00000010219"
"ENSG00000010244 - ZNF207","ZNF207",2641.001,1456.001,568,1951,2394,2500.82,1073,1180.003,899,893.001,2227,3589,1651.001,1097,2864.004,4516,1780.999,2502.001,2957.001,1035.998,1225.999,2451,1766,8379.999,1890.022,"ENSG00000010244"
"ENSG00000010256 - UQCRC1","UQCRC1",14591,11184,4685,9057.999,16694,14458,8624.999,6909.001,5392,6948,11638.999,17142.001,11129.999,4361.999,12013,19854,10723,11609,15323,7698.002,7987,13368,12588,38580,6926,"ENSG00000010256"
"ENSG00000010270 - STARD3NL","STARD3NL",471.999,185.999,66,254,364.999,365,164.999,212,129.001,80,333,572,288,186.001,421.999,559,390.999,355.001,291.999,197,238,533,273.001,903,245.001,"ENSG00000010270"
"ENSG00000010278 - CD9","CD9",16603.001,7809.001,5493.998,10878,18148.001,12530.999,8096.001,8014.002,6099.999,3510,14740,21062,7744.001,5872.002,12354.999,19410,14864.999,13597.999,16032.999,6545.999,9410.002,17759.999,13481,39466.002,7596.001,"ENSG00000010278"
"ENSG00000010282 - HHATL","HHATL",0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"ENSG00000010282"
"ENSG00000010292 - NCAPD2","NCAPD2",1040.999,813.999,189,307,391,999,377,330,403,450.999,615.001,2473,439,183,2505,2946,360,1167,1092.999,344,446,630,511,3988.999,381,"ENSG00000010292"
"ENSG00000010295 - IFFO1","IFFO1",33,36.001,3,19,7,33,5,17,31,29,19,7,10,1,22,9,11,15,7,17,18,31.001,10,14,4,"ENSG00000010295"
"ENSG00000010310 - GIPR","GIPR",38,58,7,47,84.557,21,22,27,43,35,11,17,14,8,61,52,10,28,38,37,20,32,34,76,42,"ENSG00000010310"
"ENSG00000010318 - PHF7","PHF7",118,103,23,43.001,73,115.999,73.001,57.999,59.001,35,102,205,52.001,24,127,224.001,101,99.999,85.999,60.999,64.999,104,87,333,62,"ENSG00000010318"
"ENSG00000010319 - SEMA3G","SEMA3G",336,289,11,126,76,97,31,25,53,154,24,25,9,8,20,20,14,13,34,22,52,19,30,69,30,"ENSG00000010319"
"ENSG00000010322 - NISCH","NISCH",1061,783.001,165.001,434.999,652,633,269,423.001,312.001,308,652,833,326.999,263,585,931.999,461,718,595.001,500.999,549,1042,432,1489.001,323,"ENSG00000010322"
"ENSG00000010327 - STAB1","STAB1",202.001,158.001,11,55,68.999,101,6,85,104,195,145.999,45,19,19,143,81,64,67,49,38,85,60,17,31,8,"ENSG00000010327"
"ENSG00000010361 - FUZ","FUZ",75,72,16,34,38,66,15,27,40.001,39,55,132,50.999,15,82,174,60,61,43,30.001,63.999,52,38,172,27,"ENSG00000010361"
"ENSG00000010379 - SLC6A13","SLC6A13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"ENSG00000010379"
"ENSG00000010404 - IDS","IDS",5021.083,957.147,783.034,1413.204,1455.929,1340.997,490.11,1179.508,595.85,284.218,2396.122,2051.967,447.375,1142.364,911.413,1040.949,1732.897,1371.271,1071.614,837.356,1904.843,2573.261,1245.132,1898.35,1236.16,"ENSG00000010404"
"ENSG00000010438 - PRSS3","PRSS3",6580.293,3442,2213.592,4532,5174,3725.578,2035.999,2718.999,1668,1223,5425.421,5460,2469.997,2133.409,2023.999,4048,5252.487,2901.999,3654,2909.589,3290,3514,3833.001,7324.964,2758.999,"ENSG00000010438"
"ENSG00000010539 - ZNF200","ZNF200",161.999,74,41,75,116,110,49,63,51.999,43,74,153,70,41,122,153,57,136,134,69.999,64,115.328,43,242.001,51,"ENSG00000010539"
"ENSG00000010610 - CD4","CD4",245,259,22,141,67,346,22,108,351,158,166,231,38,10,145,102,26,343,56,71,143,127,13,19,4,"ENSG00000010610"
"ENSG00000010626 - LRRC23","LRRC23",90.347,55.129,6,34.023,62.666,49.075,48.639,36,26.219,58.738,28.76,68.265,60.225,23,50.293,143.401,23,79,65.014,59.001,22.613,50.537,28.262,143.452,53,"ENSG00000010626"
