"","X","WS12.2","WS14.2","WS17.2","WS18.2","WS2.2","WS21.2","WS23.2","WS24.2","WS27.2","WS32.2","WS33.2","WS34.2","WS36.2","WS37.2","WS38.2","WS39.2","WS4.2","WS40.2","WS42.2","WS43.2","WS47.2","WS5.2","WS6.2","WS8.2","WS9.2","Ensembl"
"ENSG00000144452 - ABCA12","ABCA12",0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"ENSG00000144452"
"ENSG00000144455 - SUMF1","SUMF1",1304.999,606.544,220,578,842,969,412,429,329,286,879.001,1980.001,729,350,1063,1551.01,862,1089,962.001,661,558,1240,797.999,2889,384,"ENSG00000144455"
"ENSG00000144460 - NYAP2","NYAP2",0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000144460"
"ENSG00000144468 - RHBDD1","RHBDD1",438,173,76,197,216,364.001,130,217,137,115,240,465.001,240,101.999,440,497.001,303,381,295.999,182,239,374.001,176,840.001,170,"ENSG00000144468"
"ENSG00000144476 - ACKR3","ACKR3",83,19,10,47,4,30,2,6,47,16,22,85,7,2,29,6,2,14,12,12,11,58,5,9,3,"ENSG00000144476"
"ENSG00000144481 - TRPM8","TRPM8",0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"ENSG00000144481"
"ENSG00000144485 - HES6","HES6",531,390,120,150,678,496.999,181,253,187,256,356.999,612.001,231,140,383,809,385,458.999,420,148.001,259,544,445,1696,256,"ENSG00000144485"
"ENSG00000144488 - ESPNL","ESPNL",6,11,0,7,0,7,2,4,1,5,3,7,0,0,4,10,0,3,0,2,2,3,0,0,0,"ENSG00000144488"
"ENSG00000144504 - ANKMY1","ANKMY1",113.001,127.999,25,84,101,150,41,43,62,31,101,171,70,23,78.999,131,58,80.001,76,86.001,67.001,79.001,83,211.001,29,"ENSG00000144504"
"ENSG00000144524 - COPS7B","COPS7B",260.019,234.369,55.001,158.003,192.042,273.043,114.059,105.871,116.001,119.373,210.021,457.001,261,51,370.019,692.122,159,256.552,250.097,195.054,133,249.053,166.026,974.081,119,"ENSG00000144524"
"ENSG00000144535 - DIS3L2","DIS3L2",357,246.507,90,226,265,328.122,125.999,143.999,146.265,151.999,216.001,494.641,372.422,79,435.999,643.563,148,392.333,436.001,254.142,177.682,293.045,212.651,955.409,154.14,"ENSG00000144535"
"ENSG00000144550 - CPNE9","CPNE9",0,0,0,0,2,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,"ENSG00000144550"
"ENSG00000144554 - FANCD2","FANCD2",95,94,14,44,57.999,182,54,34,61,82,75,318,70,21,435,526.891,46,158,130.999,46,48,98,91,633.999,42,"ENSG00000144554"
"ENSG00000144559 - TAMM41","TAMM41",53,52.998,7.059,45,41.953,59.545,31.999,29.754,49,56.999,27,82.305,125.834,2.196,97.131,226.719,25,59,99,36.001,22.916,47.479,55,346.786,32,"ENSG00000144559"
"ENSG00000144560 - VGLL4","VGLL4",1568.001,916.999,290,507.998,851,1157.001,483.921,579.864,345.001,373,984.83,1846,654,420,1127.917,1670,796.999,1058,1016.999,629,703,1371,815,2564.999,640,"ENSG00000144560"
